id,title,description,long_description,keywords,city,region,country,address,coordinates,date_start,date_end,url
54724798,Session de formation Croupier via POEI pour le Groupe Marval,Il s'agit d'une information collective autour d'une proposition de formation de Croupier dans le cadre d'une POEI (financement de la formation pris en charge par France Travail)Nous réunissons dan...,"Il s'agit d'une information collective autour d'une proposition de formation de Croupier dans le cadre d'une POEI (financement de la formation pris en charge par France Travail)Nous réunissons dans les locaux du Groupe Marval, les candidats dont le cv a été retenu et nous leur présentons la formation dont voici les détails : - Dates : Du 31 mars au 20 juin 2025 (Stage : 28 avril au 23 mai 2025)- Horaires : du lundi au vendredi- Durée : 12 semaines de formation 100% pratique- Lieu de la formation à Asnières-sur-Seine 92600A l'issue de la présentation, des entretiens individuels sont réalisés. Présentation du Groupe Marval- Présentation de la formation- Entretiens individuels","[""Réunion d'information"", 'La semaine du Tourisme', '1 jeune  1 solution', '#TousMobilisés', 'Découverte secteur / métier', 'Découverte formation', 'Recrutement', 'Pas de diplôme exigé', 'Tout public', 'Résidents en quartier prioritaire de la ville', 'Formation financée', 'CDI', 'en physique']",Paris,Île-de-France,FR,75008 Paris,"{'lon': 2.303662, 'lat': 48.869568}",2025-03-12T08:30:00+00:00,2025-03-12T11:30:00+00:00,https://openagenda.com/semaine-des-metiers-du-tourisme/events/session-de-formation-croupier-via-poei-pour-le-groupe-marval-7979920
20244751,Visite du Musée de la Radiologie,"Lors de votre visite, vous découvrirez comment la radiologie est née à la fin du XIX siècle puis s'est développée durant les premières décennies de son existence. Vous découvrirez plus de 500 objets,…","Lors de votre visite, vous découvrirez comment la radiologie est née à la fin du XIX siècle puis s'est développée durant les premières décennies de son existence. Vous découvrirez plus de 500 objets, tubes à rayons X, maquettes d’appareils de radiologie et ferez connaissance de quelques illustres pionniers de la discipline. Sur place, un responsable du musée pourra répondre à vos questions.",,Paris,Île-de-France,FR,47 rue de la Colonie 75013 Paris,"{'lon': 2.348114, 'lat': 48.824259}",2025-05-17T10:00:00+00:00,2025-05-17T16:00:00+00:00,https://openagenda.com/culture/events/visite-du-musee-de-la-radiologie
97839112,Animation musicale,Animation musicale dans la roseraie par Jean-Pierre Bertrand,Animation musicale dans la roseraie par Jean-Pierre Bertrand,,Paris,Île-de-France,FR,Route de Sèvres à Neuilly 75016 Paris,"{'lon': 2.238851, 'lat': 48.863052}",2025-06-07T12:00:00+00:00,2025-06-08T16:00:00+00:00,https://openagenda.com/culture/events/animation-musicale-7726590
40934094,"Visite libre de l'exposition ""L'écologie des choses - Regards sur les artistes japonais et leurs environnements de 1970 à nos jours""","**La MCJP, en partenariat avec le Frac Sud - Cité de l’art contemporain et avec le concours du Musée d’art moderne et contemporain de Saint-Etienne Métropole ( MAMC+), organise un projet d’exposition…","La MCJP, en partenariat avec le Frac Sud - Cité de l’art contemporain et avec le concours du Musée d’art moderne et contemporain de Saint-Etienne Métropole ( MAMC+), organise un projet d’exposition en deux volets* à Paris et Marseille, qui s’attache à relier des pratiques d’artistes japonais de différentes générations à l’aune d’enjeux écologiques. Réunissant une cinquantaine d’œuvres dont certaines en provenance du Japon et encore jamais montrées en France, cette double exposition révèle toute la richesse d’une scène artistique japonaise encore peu connue du public. L’exposition « L’écologie des choses » propose une lecture renouvelée des liens unissant des pratiques artistiques apparues à la fin des années 1960 au Japon, dans un contexte de reconstruction et d’industrialisation massive, à celles d’artistes contemporains en prise avec les enjeux environnementaux actuels. Au travers de dialogues inédits, elle propose ainsi de réévaluer comment certaines œuvres pionnières issues de mouvements artistiques majeurs au Japon tels que Mono-ha (L’école des choses) ou Fluxus portaient déjà un regard attentif à nos milieux de vie dans une dimension sociale et écologique, intime et collective. Si les pratiques de Noboru Takayama ou Kishio Suga (Mono-ha) font par exemple appel à la mémoire et l’histoire inhérente de nos environnements par le truchement et la confrontation de matériaux bruts, qu’ils soient d’origine naturelle ou industrielle, celles d’Hideki Umezawa et Koichi Sato ou de Hiroshi Yoshimura investissent le médium sonore pour composer des paysages musicaux et visuels en réponse à certaines architectures et créer ainsi des lueurs de calme dans des lieux inattendus. Des approches non sans écho à celles privilégiées par certaines artistes Fluxus réunies ici (Yoko Ono, Mieko Shiomi et Takako Saito) et leur recours au langage. Mais plus qu’une simple relecture, l’enjeu de cette exposition est aussi de souligner la singularité avec laquelle ces artistes font appel à leur médium et à leur sensibilité, n’hésitant pas à bousculer leurs pratiques et leurs matériaux, pour concevoir et partager des œuvres plus attentives à nos manières d’habiter. Autrement dit, des artistes ayant fait le choix, à mesure que la société se transformait, d’une certaine écologie envers les choses.",,Paris,Île-de-France,FR,101 bis quai Jacques-Chirac 75015 Paris,"{'lon': 2.289478, 'lat': 48.854865}",2025-05-17T09:00:00+00:00,2025-05-17T20:00:00+00:00,https://openagenda.com/culture/events/visite-libre-de-lexposition-lecologie-des-choses-regards-sur-les-artistes-japonais-et-leurs-environnements-de-1970-a-nos-jours
33809492,MIRR - Benjamin Sanz Trio - Brunch à la Bellevilloise,Concert Brunch à la Bellevilloise,"Trio Harvey/Sanz/Sauzay Le trio va servir au public de la Bellevilloise des interprétations audacieuses ou intimistes de grands standards de jazz, ancrées dans le swing et la sensibilité. Parmi l’un des meilleurs de sa génération, le jeune pianiste Anglais Levi Harvey a brillamment réussi le concours d'admission très sélectif au Conservatoire national supérieur de musique CNSM de Paris et est aujourd’hui très actif au sein de nombreux groupes à Paris et ailleurs. Gabriel Sauzay étudie au conservatoire de Caen avant d’entrer au CNSM de Paris. Contrebassiste talentueux, il est le fils du saxophoniste David Sauzay. Il se distingue par son jeu précis et expressif, naviguant avec aisance entre le jazz traditionnel et les influences contemporaines. Aux côtés de nombreux musiciens de renom, il s’impose progressivement comme une figure montante de la scène jazz française. Le batteur et compositeur Benjamin Sanz a travaillé avec des maîtres de musique avant de fonder son propre groupe, le quintet Directions. Il a servi ou est à l’origine de nombreux projets influencés par les courants de la musique noire américaine et africaine et a joué internationalement avec de grands noms tels David Murray, Archie Shepp, Abdoulaye Traoré, Joëlle Léandre et Bobby Few. Le collectif MIRR est conventionné par la DRAC IdF pour la période 2024-2025","['Jazz', 'swing', 'Harvey', 'Sanz', 'Sauzay']",Paris,Île-de-France,FR,"19-21 rue boyer, 75020 Paris","{'lon': 2.392486, 'lat': 48.86786}",2025-07-27T09:30:00+00:00,2025-07-27T12:30:00+00:00,https://openagenda.com/culture/events/benjamin-sanz-trio-brunch-a-la-bellevilloise
91172459,Culture Autrement - atelier : Création sonore - Mon été à Belleville,"Culture Autrement crée et anime des rencontres en Île-de-France (concerts et spectacles avec temps d'échange, ateliers, performances, médiation culturelle) avec tous les publics, petits et grands, et…","Culture Autrement crée et anime des rencontres en Île-de-France (concerts et spectacles avec temps d'échange, ateliers, performances, médiation culturelle) avec tous les publics, petits et grands, non initiés, amateurs et artistes. Culture Autrement donne accès à l’art, à la création et au développement de soi par l’expérience, l’éducation et la production artistiques. ------------ Atelier de création sonore Culture Autrement et le compositeur David Merlo proposent un atelier de création sonore sous casque au cours duquel un(e) à trois participant(e)s pourront jouer avec les sonorités ambiantes du boulevard de Belleville et le transformer en temps réel. A l’aide de différents contrôleurs (un pédalier midi, une tablette tactile et un capteur de gestes), les participant(e)s pourront improviser seul(e)s ou à plusieurs pour s'approprier l'espace sonore environnant et faire l'expérience d'une démarche électroacoustique live. Ces improvisations pourront être enregistrées à la demande et constituer autant de cartes postales sonores souvenirs. ------------ L’atelier création sonore fait partie de Mon été à Belleville (2021, 2022, 2023, 2024, 2025). Il a déjà eu lieu dans le cadre du festival Formes Olympiques de la Ville de Paris (2022, 2023).",,Paris,Île-de-France,FR,Belleville 75020 Paris,"{'lon': 2.385085, 'lat': 48.871727}",2025-07-09T15:00:00+00:00,2025-07-09T18:30:00+00:00,https://openagenda.com/eteculturel-2025-ile-de-france/events/culture-autrement-atelier-creation-sonore-mon-ete-a-belleville-6330895
48326082,Festival Les Traverses,Festival Les Traverses - Samedi 28 juin,"Festival Les Traverses - Samedi 28 juin Pour célébrer la fin de la saison et le début de l’été, les marionnettes sortent du théâtre et investissent le quartier Saint-Blaise et plus particulièrement, le square des Cardeurs à travers des spectacles, déambulations et ateliers. L’occasion de découvrir des créations et spectacles gratuits tout en partageant un moment convivial ! Événement gratuit en extérieur dans le square des Cardeurs, Paris 20e.",,Paris,Île-de-France,FR,"45 rue du Clos, 75020 Paris","{'lon': 2.408449, 'lat': 48.858437}",2025-06-28T13:00:00+00:00,2025-06-28T17:00:00+00:00,https://openagenda.com/eteculturel-2025-ile-de-france/events/festival-les-traverses-4461089
15763169,Atelier scolaire : « La fortification bastionnée »,Atelier scolaire : « La fortification bastionnée »,"Après une présentation de la collection et une introduction à la fortification bastionnée devant les maquettes, les enfants construisent une petite maquette d’un front bastionné. Cet atelier permet de découvrir les formes, le vocabulaire (« bastion », « demi-lune », « glacis », etc.) et la conception de la fortification à l’époque de Louis XIV et Vauban. Les élèves repartent ensuite avec leur création !",,Paris,Île-de-France,FR,Hôtel national des Invalides 75007 Paris,"{'lon': 2.311878, 'lat': 48.857037}",2025-10-17T08:00:00+00:00,2025-10-17T13:00:00+00:00,https://openagenda.com/jnarchi-2025-ile-de-france/events/atelier-scolaire-la-fortification-bastionnee-7324532
92389766,Visite guidée architecturale,Visite architecturale,"À l’occasion des Journées nationales de l’architecture, découvrez le Musée de La Poste au prisme de ses spécificités architecturales : sa conception ""béton apparent"" propre au brutalisme des années 70, sa façade labellisée ""Architecture contemporaine remarquable"", ses espaces intérieurs récemment rénovés sublimant l’esprit brutaliste des origines… Une visite guidée pleine de surprises et d’enseignements ! En savoir plus",,Paris,Île-de-France,FR,34 boulevard de Vaugirard 75015 Paris,"{'lon': 2.317219, 'lat': 48.841456}",2025-10-18T09:15:00+00:00,2025-10-18T13:45:00+00:00,https://openagenda.com/jnarchi-2025-ile-de-france/events/visite-guidee-architecturale-4142160
65406163,Expérimentations architecturales en réalité virtuelle,"Découverte d’une série de lieux au moyen de casques de réalités virtuelles par le FabLab, ouvert à tous, de 18h à 21h.","Découverte d’une série de lieux au moyen de casques de réalités virtuelles par le FabLab, ouvert à tous, de 18h à 21h.",,Paris,Île-de-France,FR,"1 Rue Jean Antoine de Baïf, 75013 Paris, France","{'lon': 2.384557, 'lat': 48.827849}",2025-10-17T16:00:00+00:00,2025-10-17T19:00:00+00:00,https://openagenda.com/jnarchi-2025-ile-de-france/events/experimentations-architecturales-en-realite-virtuelle-7431740
